"tick","Block","PorpoiseCount"
153.0,2,2001
153.0,0,0
153.0,1,7997
154.0,2,2002
154.0,0,0
154.0,1,7996
155.0,2,1998
155.0,0,0
155.0,1,8000
156.0,2,1998
156.0,0,0
156.0,1,8000
157.0,2,2000
157.0,0,0
157.0,1,7998
158.0,2,2001
158.0,0,0
158.0,1,7997
159.0,2,2002
159.0,0,0
159.0,1,7996
160.0,2,2000
160.0,0,0
160.0,1,7998
161.0,2,1996
161.0,0,0
161.0,1,8002
162.0,2,2003
162.0,0,0
162.0,1,7995
163.0,2,2000
163.0,0,0
163.0,1,7998
164.0,2,2001
164.0,0,0
164.0,1,7997
165.0,2,2003
165.0,0,0
165.0,1,7995
166.0,2,2007
166.0,0,0
166.0,1,7991
167.0,2,2006
167.0,0,0
167.0,1,7992
168.0,2,2004
168.0,0,0
168.0,1,7994
169.0,2,2006
169.0,0,0
169.0,1,7992
170.0,2,2002
170.0,0,0
170.0,1,7996
171.0,2,1998
171.0,0,0
171.0,1,8000
172.0,2,1994
172.0,0,0
172.0,1,8004
173.0,2,1994
173.0,0,0
173.0,1,8004
174.0,2,1998
174.0,0,0
174.0,1,8000
175.0,2,1999
175.0,0,0
175.0,1,7999
176.0,2,1995
176.0,0,0
176.0,1,8003
177.0,2,1991
177.0,0,0
177.0,1,8007
178.0,2,1991
178.0,0,0
178.0,1,8007
179.0,2,1989
179.0,0,0
179.0,1,8009
180.0,2,1994
180.0,0,0
180.0,1,8004
181.0,2,1991
181.0,0,0
181.0,1,8007
182.0,2,1990
182.0,0,0
182.0,1,8008
183.0,2,1988
183.0,0,0
183.0,1,8010
184.0,2,1988
184.0,0,0
184.0,1,8010
185.0,2,1986
185.0,0,0
185.0,1,8012
186.0,2,1983
186.0,0,0
186.0,1,8015
187.0,2,1984
187.0,0,0
187.0,1,8014
188.0,2,1987
188.0,0,0
188.0,1,8011
189.0,2,1989
189.0,0,0
189.0,1,8009
190.0,2,1988
190.0,0,0
190.0,1,8010
191.0,2,1989
191.0,0,0
191.0,1,8009
192.0,2,1991
192.0,0,0
192.0,1,8007
193.0,2,1992
193.0,0,0
193.0,1,8006
194.0,2,1996
194.0,0,0
194.0,1,8002
195.0,2,1992
195.0,0,0
195.0,1,8006
196.0,2,1997
196.0,0,0
196.0,1,8001
197.0,2,1992
197.0,0,0
197.0,1,8006
198.0,2,1991
198.0,0,0
198.0,1,8007
199.0,2,1988
199.0,0,0
199.0,1,8010
200.0,2,1988
200.0,0,0
200.0,1,8010
201.0,2,1993
201.0,0,0
201.0,1,8005
202.0,2,1987
202.0,0,0
202.0,1,8011
203.0,2,1987
203.0,0,0
203.0,1,8011
204.0,2,1988
204.0,0,0
204.0,1,8010
205.0,2,1995
205.0,0,0
205.0,1,8003
206.0,2,1998
206.0,0,0
206.0,1,8000
207.0,2,1998
207.0,0,0
207.0,1,8000
208.0,2,2000
208.0,0,0
208.0,1,7998
209.0,2,2000
209.0,0,0
209.0,1,7998
210.0,2,1998
210.0,0,0
210.0,1,8000
211.0,2,2001
211.0,0,0
211.0,1,7997
212.0,2,2001
212.0,0,0
212.0,1,7997
213.0,2,1997
213.0,0,0
213.0,1,8001
214.0,2,1997
214.0,0,0
214.0,1,8001
215.0,2,1995
215.0,0,0
215.0,1,8003
216.0,2,1995
216.0,0,0
216.0,1,8003
217.0,2,1994
217.0,0,0
217.0,1,8004
218.0,2,1992
218.0,0,0
218.0,1,8006
219.0,2,1998
219.0,0,0
219.0,1,8000
220.0,2,2000
220.0,0,0
220.0,1,7998
221.0,2,2002
221.0,0,0
221.0,1,7996
222.0,2,2007
222.0,0,0
222.0,1,7991
223.0,2,2007
223.0,0,0
223.0,1,7991
224.0,2,2007
224.0,0,0
224.0,1,7991
225.0,2,2006
225.0,0,0
225.0,1,7992
226.0,2,2003
226.0,0,0
226.0,1,7994
227.0,2,2002
227.0,0,0
227.0,1,7995
228.0,2,2005
228.0,0,0
228.0,1,7992
229.0,2,2002
229.0,0,0
229.0,1,7995
230.0,2,2005
230.0,0,0
230.0,1,7992
231.0,2,2001
231.0,0,0
231.0,1,7996
232.0,2,1995
232.0,0,0
232.0,1,8002
233.0,2,1998
233.0,0,0
233.0,1,7999
234.0,2,2001
234.0,0,0
234.0,1,7996
235.0,2,2001
235.0,0,0
235.0,1,7996
236.0,2,1998
236.0,0,0
236.0,1,7999
237.0,2,2003
237.0,0,0
237.0,1,7994
238.0,2,1999
238.0,0,0
238.0,1,7998
239.0,2,2002
239.0,0,0
239.0,1,7995
240.0,2,1999
240.0,0,0
240.0,1,7998
241.0,2,2001
241.0,0,0
241.0,1,7996
242.0,2,2002
242.0,0,0
242.0,1,7995
243.0,2,2006
243.0,0,0
243.0,1,7991
244.0,2,2010
244.0,0,0
244.0,1,7987
245.0,2,2013
245.0,0,0
245.0,1,7984
246.0,2,2009
246.0,0,0
246.0,1,7988
247.0,2,2016
247.0,0,0
247.0,1,7981
248.0,2,2018
248.0,0,0
248.0,1,7979
249.0,2,2020
249.0,0,0
249.0,1,7977
250.0,2,2019
250.0,0,0
250.0,1,7978
251.0,2,2023
251.0,0,0
251.0,1,7974
252.0,2,2026
252.0,0,0
252.0,1,7971
253.0,2,2023
253.0,0,0
253.0,1,7974
254.0,2,2022
254.0,0,0
254.0,1,7975
255.0,2,2022
255.0,0,0
255.0,1,7975
256.0,2,2018
256.0,0,0
256.0,1,7979
257.0,2,2021
257.0,0,0
257.0,1,7976
258.0,2,2015
258.0,0,0
258.0,1,7981
259.0,2,2020
259.0,0,0
259.0,1,7976
260.0,2,2023
260.0,0,0
260.0,1,7973
261.0,2,2021
261.0,0,0
261.0,1,7975
262.0,2,2015
262.0,0,0
262.0,1,7981
263.0,2,2006
263.0,0,0
263.0,1,7990
264.0,2,2007
264.0,0,0
264.0,1,7989
265.0,2,2005
265.0,0,0
265.0,1,7991
266.0,2,2010
266.0,0,0
266.0,1,7986
267.0,2,2010
267.0,0,0
267.0,1,7986
268.0,2,2013
268.0,0,0
268.0,1,7983
269.0,2,2005
269.0,0,0
269.0,1,7991
270.0,2,2009
270.0,0,0
270.0,1,7987
271.0,2,2010
271.0,0,0
271.0,1,7986
272.0,2,2010
272.0,0,0
272.0,1,7986
273.0,2,2010
273.0,0,0
273.0,1,7986
274.0,2,2009
274.0,0,0
274.0,1,7987
275.0,2,2008
275.0,0,0
275.0,1,7988
276.0,2,2008
276.0,0,0
276.0,1,7988
277.0,2,2009
277.0,0,0
277.0,1,7987
278.0,2,2007
278.0,0,0
278.0,1,7988
279.0,2,2006
279.0,0,0
279.0,1,7989
280.0,2,2009
280.0,0,0
280.0,1,7986
281.0,2,2015
281.0,0,0
281.0,1,7980
282.0,2,2013
282.0,0,0
282.0,1,7982
283.0,2,2019
283.0,0,0
283.0,1,7976
284.0,2,2012
284.0,0,0
284.0,1,7983
285.0,2,2011
285.0,0,0
285.0,1,7984
286.0,2,2013
286.0,0,0
286.0,1,7982
287.0,2,2012
287.0,0,0
287.0,1,7983
288.0,2,2012
288.0,0,0
288.0,1,7983
289.0,2,2006
289.0,0,0
289.0,1,7989
290.0,2,2007
290.0,0,0
290.0,1,7988
291.0,2,2003
291.0,0,0
291.0,1,7992
292.0,2,2002
292.0,0,0
292.0,1,7993
293.0,2,1998
293.0,0,0
293.0,1,7997
294.0,2,2000
294.0,0,0
294.0,1,7995
295.0,2,2002
295.0,0,0
295.0,1,7993
296.0,2,2007
296.0,0,0
296.0,1,7988
297.0,2,2009
297.0,0,0
297.0,1,7986
298.0,2,2006
298.0,0,0
298.0,1,7989
299.0,2,2005
299.0,0,0
299.0,1,7990
300.0,2,2005
300.0,0,0
300.0,1,7990
301.0,2,2009
301.0,0,0
301.0,1,7986
302.0,2,2011
302.0,0,0
302.0,1,7984
303.0,2,2009
303.0,0,0
303.0,1,7986
304.0,2,2007
304.0,0,0
304.0,1,7988
305.0,2,2002
305.0,0,0
305.0,1,7993
306.0,2,2004
306.0,0,0
306.0,1,7991
307.0,2,2000
307.0,0,0
307.0,1,7995
308.0,2,2007
308.0,0,0
308.0,1,7988
309.0,2,2007
309.0,0,0
309.0,1,7988
310.0,2,2005
310.0,0,0
310.0,1,7990
311.0,2,2008
311.0,0,0
311.0,1,7987
312.0,2,2001
312.0,0,0
312.0,1,7994
313.0,2,2001
313.0,0,0
313.0,1,7994
314.0,2,2002
314.0,0,0
314.0,1,7993
315.0,2,2008
315.0,0,0
315.0,1,7987
316.0,2,2000
316.0,0,0
316.0,1,7995
317.0,2,2000
317.0,0,0
317.0,1,7995
318.0,2,2001
318.0,0,0
318.0,1,7994
319.0,2,1998
319.0,0,0
319.0,1,7997
320.0,2,2000
320.0,0,0
320.0,1,7995
321.0,2,2002
321.0,0,0
321.0,1,7993
322.0,2,2007
322.0,0,0
322.0,1,7988
323.0,2,2001
323.0,0,0
323.0,1,7994
324.0,2,2007
324.0,0,0
324.0,1,7988
325.0,2,1999
325.0,0,0
325.0,1,7996
326.0,2,2000
326.0,0,0
326.0,1,7995
327.0,2,2001
327.0,0,0
327.0,1,7994
328.0,2,1995
328.0,0,0
328.0,1,8000
329.0,2,1997
329.0,0,0
329.0,1,7998
330.0,2,1995
330.0,0,0
330.0,1,8000
331.0,2,1996
331.0,0,0
331.0,1,7999
332.0,2,1996
332.0,0,0
332.0,1,7999
333.0,2,1995
333.0,0,0
333.0,1,8000
334.0,2,1994
334.0,0,0
334.0,1,8001
335.0,2,1990
335.0,0,0
335.0,1,8005
336.0,2,1988
336.0,0,0
336.0,1,8007
337.0,2,1989
337.0,0,0
337.0,1,8006
338.0,2,1993
338.0,0,0
338.0,1,8002
339.0,2,1992
339.0,0,0
339.0,1,8003
340.0,2,1995
340.0,0,0
340.0,1,8000
341.0,2,1995
341.0,0,0
341.0,1,8000
342.0,2,1995
342.0,0,0
342.0,1,8000
343.0,2,2001
343.0,0,0
343.0,1,7994
344.0,2,2004
344.0,0,0
344.0,1,7991
345.0,2,2010
345.0,0,0
345.0,1,7985
346.0,2,2008
346.0,0,0
346.0,1,7987
347.0,2,2002
347.0,0,0
347.0,1,7993
348.0,2,1995
348.0,0,0
348.0,1,8000
349.0,2,1997
349.0,0,0
349.0,1,7998
350.0,2,1991
350.0,0,0
350.0,1,8004
351.0,2,1991
351.0,0,0
351.0,1,8004
352.0,2,1996
352.0,0,0
352.0,1,7999
353.0,2,1997
353.0,0,0
353.0,1,7998
354.0,2,1998
354.0,0,0
354.0,1,7997
355.0,2,2002
355.0,0,0
355.0,1,7993
356.0,2,1999
356.0,0,0
356.0,1,7996
357.0,2,1997
357.0,0,0
357.0,1,7998
358.0,2,1997
358.0,0,0
358.0,1,7998
359.0,2,2005
359.0,0,0
359.0,1,7990
360.0,2,2000
360.0,0,0
360.0,1,7995
361.0,2,1998
361.0,0,0
361.0,1,7997
362.0,2,2002
362.0,0,0
362.0,1,7993
363.0,2,2003
363.0,0,0
363.0,1,7992
364.0,2,2001
364.0,0,0
364.0,1,7994
365.0,2,2003
365.0,0,0
365.0,1,7992
366.0,2,2007
366.0,0,0
366.0,1,7988
367.0,2,2001
367.0,0,0
367.0,1,7994
368.0,2,1998
368.0,0,0
368.0,1,7997
369.0,2,2000
369.0,0,0
369.0,1,7995
370.0,2,2000
370.0,0,0
370.0,1,7995
371.0,2,2004
371.0,0,0
371.0,1,7991
372.0,2,2005
372.0,0,0
372.0,1,7990
373.0,2,2002
373.0,0,0
373.0,1,7993
374.0,2,1998
374.0,0,0
374.0,1,7997
375.0,2,2004
375.0,0,0
375.0,1,7991
376.0,2,2005
376.0,0,0
376.0,1,7990
377.0,2,2006
377.0,0,0
377.0,1,7989
378.0,2,2003
378.0,0,0
378.0,1,7992
379.0,2,2005
379.0,0,0
379.0,1,7990
380.0,2,2005
380.0,0,0
380.0,1,7990
381.0,2,2000
381.0,0,0
381.0,1,7995
382.0,2,2003
382.0,0,0
382.0,1,7992
383.0,2,1999
383.0,0,0
383.0,1,7996
384.0,2,2005
384.0,0,0
384.0,1,7990
385.0,2,2005
385.0,0,0
385.0,1,7990
386.0,2,2011
386.0,0,0
386.0,1,7984
387.0,2,2009
387.0,0,0
387.0,1,7986
388.0,2,2010
388.0,0,0
388.0,1,7985
389.0,2,2013
389.0,0,0
389.0,1,7982
390.0,2,2017
390.0,0,0
390.0,1,7978
391.0,2,2020
391.0,0,0
391.0,1,7975
392.0,2,2022
392.0,0,0
392.0,1,7973
393.0,2,2018
393.0,0,0
393.0,1,7977
394.0,2,2021
394.0,0,0
394.0,1,7974
395.0,2,2022
395.0,0,0
395.0,1,7973
396.0,2,2015
396.0,0,0
396.0,1,7980
397.0,2,2020
397.0,0,0
397.0,1,7975
398.0,2,2022
398.0,0,0
398.0,1,7973
399.0,2,2021
399.0,0,0
399.0,1,7974
400.0,2,2024
400.0,0,0
400.0,1,7971
401.0,2,2025
401.0,0,0
401.0,1,7970
402.0,2,2025
402.0,0,0
402.0,1,7970
403.0,2,2025
403.0,0,0
403.0,1,7970
404.0,2,2027
404.0,0,0
404.0,1,7968
405.0,2,2033
405.0,0,0
405.0,1,7962
406.0,2,2034
406.0,0,0
406.0,1,7961
407.0,2,2031
407.0,0,0
407.0,1,7964
408.0,2,2028
408.0,0,0
408.0,1,7967
409.0,2,2031
409.0,0,0
409.0,1,7964
410.0,2,2026
410.0,0,0
410.0,1,7968
411.0,2,2028
411.0,0,0
411.0,1,7966
412.0,2,2034
412.0,0,0
412.0,1,7960
413.0,2,2038
413.0,0,0
413.0,1,7956
414.0,2,2041
414.0,0,0
414.0,1,7953
415.0,2,2040
415.0,0,0
415.0,1,7954
416.0,2,2043
416.0,0,0
416.0,1,7951
417.0,2,2048
417.0,0,0
417.0,1,7946
418.0,2,2053
418.0,0,0
418.0,1,7941
419.0,2,2056
419.0,0,0
419.0,1,7938
420.0,2,2054
420.0,0,0
420.0,1,7940
421.0,2,2060
421.0,0,0
421.0,1,7934
422.0,2,2066
422.0,0,0
422.0,1,7928
423.0,2,2071
423.0,0,0
423.0,1,7923
424.0,2,2075
424.0,0,0
424.0,1,7919
425.0,2,2077
425.0,0,0
425.0,1,7917
426.0,2,2074
426.0,0,0
